HSHD_NUM        ,L,AGE_RANGE                                                                                                                                                                                               ,MARITAL,INCOME_RANGE                                                                                                                                                                                            ,HOMEOWNER,HSHD_COMPOSITION ,HH_SIZE                                                                                                                                                                                                 ,CHILDREN
4897            ,N,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,null
4904            ,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,null
4982            ,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,null
4987            ,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,null
2584            ,Y,75+                                                                                                                                                                                                     ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
3687            ,N,75+                                                                                                                                                                                                     ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
0172            ,Y,75+                                                                                                                                                                                                     ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
1437            ,Y,75+                                                                                                                                                                                                     ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
1554            ,Y,75+                                                                                                                                                                                                     ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
1462            ,Y,19-24                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,1 Adult          ,1                                                                                                                                                                                                       ,null
4214            ,Y,19-24                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,1 Adult          ,1                                                                                                                                                                                                       ,null
4420            ,Y,25-34                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Renter   ,1 Adult          ,1                                                                                                                                                                                                       ,null
4757            ,N,25-34                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
0482            ,N,35-44                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
0151            ,N,45-54                                                                                                                                                                                                   ,Single ,150K+                                                                                                                                                                                                   ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
0010            ,Y,45-54                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
